image_id,x_min,y_min,x_max,y_max,class_id
001_r1.png,450.42969600000004,244.29042600000002,467.179776,261.02991,1
001_r1.png,747.710208,189.85014600000002,781.210368,224.75035799999998,0
001_r1.png,562.079808,277.78045199999997,577.439424,294.530412,1
001_r1.png,880.2996479999999,208.00039800000002,897.049728,221.96024999999997,1
001_r1.png,1077.0894720000001,228.9297,1092.4398720000002,241.48926,1
001_r1.png,742.12992,233.119518,793.769472,399.20951399999996,2
001_r1.png,610.929792,231.72039,627.679872,245.680242,1
001_r2.png,538.360128,305.700156,626.279616,471.77967600000005,2
001_r2.png,405.260352,346.12994999999995,425.43072,364.75045800000004,1
001_r2.png,658.2297599999999,253.009368,675.309312,265.419936,1
001_r2.png,360.249408,400.44917399999997,381.979584,419.069682,1
001_r2.png,250.05945599999998,403.549488,270.229824,417.51981599999993,1
001_r2.png,532.520064,262.320204,563.5595519999999,299.570532,0
001_r2.png,849.129408,215.760204,869.2997760000001,237.48975600000003,1
001_v1.png,813.430656,190.930338,830.510208,206.44994999999997,1
001_v1.png,659.780352,219.160248,711.419904,399.21009599999996,2
001_v1.png,979.4995200000001,180.09931799999998,998.099712,198.689562,1
001_v1.png,892.590336,226.61916,915.869952,243.69969600000002,1
001_v1.png,551.150208,225.07045800000003,574.429824,240.59007,1
001_v1.png,361.8,257.66013000000004,381.97958400000005,276.28995000000003,1
001_v1.png,656.679744,178.50987600000002,695.480256,215.760204,0
001_v2.png,1105.210368,100.91006999999999,1122.280704,117.98013,1
001_v2.png,1066.409856,153.68000999999998,1089.689472,173.89985400000003,1
001_v2.png,793.7700480000001,191.249856,863.550144,371.290392,2
001_v2.png,785.49984,149.02051799999998,824.3003520000001,187.82012999999998,0
001_v2.png,537.18048,265.419936,555.800256,283.99970399999995,1
001_v2.png,686.169792,204.900084,706.349376,225.069876,1
001_v2.png,943.8007680000001,142.81989000000002,963.980352,161.440398,1
002_r1.png,841.3701120000001,221.96956200000002,866.2003200000001,249.899742,1
002_r1.png,714.209472,180.080112,743.519808,304.299864,2
002_r1.png,718.760448,142.81989000000002,751.3505279999999,180.059742,0
002_r1.png,437.85043199999996,234.38012999999998,456.470208,254.560398,1
002_r1.png,501.479424,184.72039800000002,527.86944,204.900666,1
002_r1.png,495.269568,248.349876,520.110144,270.079428,1
002_r1.png,900.349632,237.489174,918.9694079999999,256.10968199999996,1
002_r2.png,669.0994559999999,138.16039800000001,697.0296960000001,167.650338,0
002_r2.png,875.510208,212.660472,895.689792,235.94047200000003,1
002_r2.png,850.68,207.99981599999998,872.4101760000001,229.72936800000002,1
002_r2.png,437.84985600000005,256.110264,478.199808,298.00029600000005,1
002_r2.png,454.919616,203.34032399999998,476.649792,226.620324,1
002_r2.png,668.160576,175.89960599999998,704.440512,295.930122,2
